Salon,Gender,Price
Campus Cuts,Male,29.66
The Cut,Female,60.18
Boston Barber,Male,34.93
Tremont Barber,Male,54.28
Seaport Studio,Female,48.46
Great Clips,Female,25.03
Sola Salon,Male,42.96
Great Clips,Male,26.38
Roxbury Cuts,Male,58.56
Fenway Barbers,Female,35.55
Seaport Studio,Male,42.0
Downtown Cuts,Female,24.21
South End Studio,Female,43.39
Tremont Barber,Female,63.78
Northeastern Salon,Female,58.08
Sola Salon,Female,44.01
Seaport Studio,Male,42.05
Great Clips,Female,24.8
Chinatown Barber,Female,47.28
Harvard Sq Hair,Male,23.12
Sola Salon,Female,43.41
Sola Salon,Male,40.48
Campus Cuts,Male,31.81
Northeastern Salon,Male,58.79
Northeastern Salon,Female,59.9
South End Studio,Female,38.61
Downtown Cuts,Male,21.29
Newbury Street Salon,Male,49.28
Beacon Hill Salon,Male,50.0
Fenway Barbers,Female,31.42
Downtown Cuts,Male,19.76
Cambridge Cuts,Male,39.04
Boston Barber,Male,35.5
Harvard Sq Hair,Female,26.94
Downtown Cuts,Male,20.43
Chinatown Barber,Female,50.13
Beacon Hill Salon,Male,47.73
Floyd's 99,Male,38.17
Sola Salon,Female,43.83
Beacon Hill Salon,Male,49.53
Tremont Barber,Female,63.54
Seaport Studio,Male,43.54
Roxbury Cuts,Male,56.31
Cambridge Cuts,Female,53.75
Tremont Barber,Female,59.94
The Cut,Male,57.83
Seaport Studio,Male,39.15
Harvard Sq Hair,Male,17.73
Chinatown Barber,Male,49.28
Beacon Hill Salon,Male,48.89
Beacon Hill Salon,Male,49.57
Harvard Sq Hair,Female,31.79
Campus Cuts,Female,37.78
Roxbury Cuts,Male,59.33
Back Bay Hair,Male,41.59
The Cut,Male,59.19
Cambridge Cuts,Male,37.12
South End Studio,Female,44.91
Seaport Studio,Male,42.52
Fenway Barbers,Female,35.85
Tremont Barber,Female,62.62
Campus Cuts,Female,35.42
Harvard Sq Hair,Male,25.45
Beacon Hill Salon,Female,50.91
Floyd's 99,Female,41.03
Floyd's 99,Male,39.45
SuperCuts,Male,59.03
Sola Salon,Male,41.6
Campus Cuts,Male,31.51
SuperCuts,Female,66.76
Campus Cuts,Female,35.63
Cambridge Cuts,Female,49.72
The Cut,Male,54.73
Boston Barber,Female,44.21
Northeastern Salon,Female,58.73
Newbury Street Salon,Male,48.06
South End Studio,Female,42.22
Back Bay Hair,Male,44.91
South End Studio,Female,41.01
Newbury Street Salon,Female,49.96
Newbury Street Salon,Male,50.47
Boston Barber,Female,42.42
Floyd's 99,Male,37.06
Floyd's 99,Male,35.05
Northeastern Salon,Male,59.52
Beacon Hill Salon,Male,51.96
Downtown Cuts,Male,20.04
Fenway Barbers,Female,33.44
Roxbury Cuts,Female,69.58
Chinatown Barber,Female,44.87
Harvard Sq Hair,Female,31.57
Great Clips,Male,27.45
Tremont Barber,Male,55.85
Cambridge Cuts,Female,53.67
Seaport Studio,Male,41.11
Tremont Barber,Male,53.75
The Cut,Male,58.03
Chinatown Barber,Female,46.28
Seaport Studio,Male,45.25
SuperCuts,Male,59.46
Tremont Barber,Female,59.02
Great Clips,Female,26.68
Downtown Cuts,Female,25.89
South End Studio,Female,40.87
SuperCuts,Female,71.96
Fenway Barbers,Male,31.04
Northeastern Salon,Male,57.37
SuperCuts,Female,65.89
Roxbury Cuts,Male,59.12
Beacon Hill Salon,Female,44.15
Campus Cuts,Male,29.94
Harvard Sq Hair,Female,30.9
Tremont Barber,Male,52.56
Floyd's 99,Male,38.44
Great Clips,Male,24.35
Newbury Street Salon,Female,49.87
SuperCuts,Female,67.35
Northeastern Salon,Male,55.89
Back Bay Hair,Male,43.64
Great Clips,Female,27.28
SuperCuts,Female,67.32
Seaport Studio,Male,45.0
Fenway Barbers,Male,31.03
Tremont Barber,Male,51.95
Downtown Cuts,Female,21.73
Cambridge Cuts,Female,54.32
Roxbury Cuts,Female,66.45
Seaport Studio,Male,43.04
The Cut,Male,59.09
Roxbury Cuts,Male,58.43
Back Bay Hair,Female,58.44
Tremont Barber,Male,53.47
Harvard Sq Hair,Female,32.27
Campus Cuts,Female,34.48
SuperCuts,Male,55.42
Floyd's 99,Female,41.91
South End Studio,Male,44.84
Great Clips,Male,28.34
Back Bay Hair,Male,43.35
Great Clips,Female,26.79
Harvard Sq Hair,Female,28.71
Tremont Barber,Female,60.3
Sola Salon,Female,44.05
Roxbury Cuts,Female,68.68
Campus Cuts,Male,33.96
Tremont Barber,Male,55.68
Fenway Barbers,Male,28.01
Northeastern Salon,Male,59.65
Back Bay Hair,Female,56.26
Harvard Sq Hair,Male,19.66
Downtown Cuts,Male,22.7
Roxbury Cuts,Female,66.47
Harvard Sq Hair,Male,18.33
Campus Cuts,Female,32.82
Chinatown Barber,Female,47.69
Newbury Street Salon,Male,48.91
Cambridge Cuts,Male,42.7
The Cut,Female,60.38
Boston Barber,Female,44.38
The Cut,Male,59.91
Tremont Barber,Male,54.91
Downtown Cuts,Female,24.02
Tremont Barber,Female,60.37
Campus Cuts,Female,34.94
Tremont Barber,Male,59.56
Sola Salon,Male,38.36
Downtown Cuts,Male,23.63
Seaport Studio,Male,45.1
Great Clips,Male,26.36
SuperCuts,Male,56.09
Chinatown Barber,Female,48.94
Tremont Barber,Male,55.93
Fenway Barbers,Male,31.09
Seaport Studio,Male,41.61
Newbury Street Salon,Male,45.83
Back Bay Hair,Female,56.69
Boston Barber,Female,42.25
Northeastern Salon,Male,58.28
Newbury Street Salon,Male,46.7
SuperCuts,Female,62.2
Boston Barber,Female,48.0
Roxbury Cuts,Male,53.59
Downtown Cuts,Female,23.15
Northeastern Salon,Female,61.49
Chinatown Barber,Female,44.17
SuperCuts,Female,68.97
Sola Salon,Female,45.32
SuperCuts,Male,58.88
Campus Cuts,Male,28.27
Great Clips,Male,27.98
Boston Barber,Female,47.4
Beacon Hill Salon,Male,48.56
Floyd's 99,Female,37.78
Back Bay Hair,Male,44.82
Fenway Barbers,Female,32.19
Harvard Sq Hair,Female,32.82
Campus Cuts,Female,32.35
Beacon Hill Salon,Female,48.27
Great Clips,Female,27.89
Harvard Sq Hair,Male,16.79
Back Bay Hair,Male,42.4
Great Clips,Female,25.69
Great Clips,Male,29.43
Newbury Street Salon,Male,46.79
Roxbury Cuts,Male,56.9
Northeastern Salon,Male,60.91
Campus Cuts,Male,25.58
The Cut,Male,56.27
Floyd's 99,Female,41.29
Roxbury Cuts,Male,55.81
Beacon Hill Salon,Male,47.07
Great Clips,Male,29.97
Chinatown Barber,Female,47.04
Sola Salon,Male,38.29
South End Studio,Male,39.15
Harvard Sq Hair,Female,29.25
Back Bay Hair,Male,41.07
South End Studio,Male,43.99
Newbury Street Salon,Male,46.99
Campus Cuts,Male,31.3
Roxbury Cuts,Male,53.99
Sola Salon,Female,45.43
Beacon Hill Salon,Female,50.92
Downtown Cuts,Male,18.59
Harvard Sq Hair,Female,31.64
Floyd's 99,Male,37.45
Floyd's 99,Male,38.44
Downtown Cuts,Female,22.93
Northeastern Salon,Female,60.08
The Cut,Female,65.12
Harvard Sq Hair,Male,23.88
SuperCuts,Male,55.82
Great Clips,Female,26.23
Downtown Cuts,Male,20.2
Cambridge Cuts,Female,53.6
SuperCuts,Female,68.11
The Cut,Male,63.85
SuperCuts,Male,53.33
Sola Salon,Male,42.7
South End Studio,Female,41.84
Roxbury Cuts,Male,56.39
Great Clips,Female,28.39
Beacon Hill Salon,Male,48.22
Sola Salon,Female,45.37
Boston Barber,Female,41.27
South End Studio,Male,40.26
Downtown Cuts,Female,24.29
Seaport Studio,Male,45.5
SuperCuts,Male,54.97
Cambridge Cuts,Male,41.93
Beacon Hill Salon,Female,45.59
Sola Salon,Male,39.69
Great Clips,Male,25.9
Northeastern Salon,Female,61.23
Cambridge Cuts,Male,45.9
Beacon Hill Salon,Female,48.17
Chinatown Barber,Male,43.52
Fenway Barbers,Male,27.34
The Cut,Female,63.15
Sola Salon,Female,47.03
Roxbury Cuts,Male,55.77
Downtown Cuts,Male,19.41
Boston Barber,Female,44.07
Newbury Street Salon,Male,49.49
Fenway Barbers,Female,35.73
Seaport Studio,Male,42.83
Roxbury Cuts,Female,67.37
Beacon Hill Salon,Female,49.23
Newbury Street Salon,Female,46.25
Boston Barber,Female,45.62
SuperCuts,Female,65.7
South End Studio,Female,38.75
Newbury Street Salon,Male,46.16
Great Clips,Male,26.73
Harvard Sq Hair,Male,19.99
Beacon Hill Salon,Female,46.11
Northeastern Salon,Female,61.86
SuperCuts,Male,59.24
Campus Cuts,Female,34.67
Beacon Hill Salon,Male,50.44
Cambridge Cuts,Female,51.21
The Cut,Female,62.95
Chinatown Barber,Male,47.21
Roxbury Cuts,Male,57.52
Campus Cuts,Male,30.59
Beacon Hill Salon,Female,49.53
Campus Cuts,Female,31.95
Chinatown Barber,Female,49.17
Harvard Sq Hair,Female,29.74
Roxbury Cuts,Male,56.85
Cambridge Cuts,Male,42.52
Seaport Studio,Female,47.51
Chinatown Barber,Male,44.4
SuperCuts,Male,54.56
Fenway Barbers,Female,35.55
The Cut,Male,55.2
Fenway Barbers,Female,33.41
SuperCuts,Male,58.31
Beacon Hill Salon,Female,52.42
Fenway Barbers,Male,30.31
Floyd's 99,Male,39.53
SuperCuts,Female,67.16
Seaport Studio,Male,45.73
The Cut,Female,69.52
Seaport Studio,Male,42.89
Harvard Sq Hair,Female,32.01
Seaport Studio,Female,42.6
Northeastern Salon,Female,55.67
Seaport Studio,Female,51.25
Great Clips,Female,27.5
Cambridge Cuts,Female,52.25
Chinatown Barber,Male,41.6
South End Studio,Male,40.02
Sola Salon,Male,41.09
Floyd's 99,Male,35.92
Northeastern Salon,Male,57.61
Sola Salon,Male,40.66
Great Clips,Female,27.2
Roxbury Cuts,Female,63.68
Northeastern Salon,Male,60.23
Sola Salon,Female,42.87
Cambridge Cuts,Female,50.18
South End Studio,Male,39.44
Downtown Cuts,Male,20.05
Campus Cuts,Female,37.07
Sola Salon,Female,43.35
South End Studio,Male,42.61
Campus Cuts,Male,25.36
Cambridge Cuts,Female,50.87
Harvard Sq Hair,Female,32.22
SuperCuts,Female,71.49
Downtown Cuts,Female,22.58
Beacon Hill Salon,Female,46.48
Newbury Street Salon,Male,46.66
Floyd's 99,Male,35.96
Harvard Sq Hair,Female,30.27
Back Bay Hair,Male,39.55
Campus Cuts,Male,31.07
Boston Barber,Female,44.73
Back Bay Hair,Male,40.49
Newbury Street Salon,Male,49.3
Northeastern Salon,Female,58.28
Harvard Sq Hair,Male,22.11
South End Studio,Male,42.52
Floyd's 99,Female,39.98
Downtown Cuts,Male,21.58
Boston Barber,Male,33.15
Downtown Cuts,Male,20.4
Downtown Cuts,Male,20.9
Boston Barber,Male,33.47
South End Studio,Male,41.73
Campus Cuts,Female,34.55
South End Studio,Male,44.25
Beacon Hill Salon,Female,51.19
Cambridge Cuts,Male,41.75
Beacon Hill Salon,Male,47.4
Back Bay Hair,Female,56.87
Beacon Hill Salon,Female,48.45
Back Bay Hair,Female,58.88
Harvard Sq Hair,Female,32.72
Chinatown Barber,Female,48.07
Northeastern Salon,Male,57.5
Cambridge Cuts,Female,52.81
Back Bay Hair,Male,40.23
Roxbury Cuts,Male,59.91
Seaport Studio,Female,47.58
Newbury Street Salon,Male,52.22
Harvard Sq Hair,Female,34.79
Northeastern Salon,Female,59.83
Floyd's 99,Female,37.71
Sola Salon,Male,40.11
Tremont Barber,Male,58.16
The Cut,Male,55.8
Downtown Cuts,Female,25.08
Great Clips,Female,29.88
Sola Salon,Male,37.93
Fenway Barbers,Male,30.8
Northeastern Salon,Male,57.3
Back Bay Hair,Male,40.7
Newbury Street Salon,Female,48.8
Seaport Studio,Male,44.31
South End Studio,Male,38.92
Beacon Hill Salon,Female,49.48
Chinatown Barber,Female,46.68
The Cut,Male,59.71
Harvard Sq Hair,Male,22.34
SuperCuts,Female,69.11
Northeastern Salon,Female,60.19
Northeastern Salon,Male,57.1
Great Clips,Male,28.7
Harvard Sq Hair,Male,19.53
Great Clips,Female,25.61
Roxbury Cuts,Female,68.16
Sola Salon,Female,41.98
SuperCuts,Male,54.07
The Cut,Male,57.33
Sola Salon,Female,44.98
Cambridge Cuts,Female,52.29
Cambridge Cuts,Male,45.84
Back Bay Hair,Male,42.67
Seaport Studio,Male,43.63
The Cut,Female,67.9
South End Studio,Male,38.65
Northeastern Salon,Male,58.41
South End Studio,Male,43.2
Boston Barber,Female,46.67
Harvard Sq Hair,Female,33.26
Seaport Studio,Female,52.02
Fenway Barbers,Male,32.05
Great Clips,Male,29.69
Newbury Street Salon,Female,49.6
Seaport Studio,Male,44.0
Seaport Studio,Female,45.2
Newbury Street Salon,Male,51.03
Sola Salon,Male,42.7
Tremont Barber,Female,62.24
Roxbury Cuts,Female,68.1
Cambridge Cuts,Male,44.88
Seaport Studio,Male,42.29
Tremont Barber,Male,55.31
Campus Cuts,Female,34.03
Fenway Barbers,Female,33.81
Great Clips,Male,24.96
Harvard Sq Hair,Female,31.2
Harvard Sq Hair,Male,25.64
Cambridge Cuts,Female,53.34
SuperCuts,Male,57.2
Seaport Studio,Male,43.83
The Cut,Male,58.93
Northeastern Salon,Male,61.37
Newbury Street Salon,Female,48.6
Seaport Studio,Female,48.39
Roxbury Cuts,Female,65.33
Back Bay Hair,Female,57.39
Roxbury Cuts,Male,55.48
South End Studio,Female,38.74
Northeastern Salon,Male,60.25
Harvard Sq Hair,Female,33.26
Campus Cuts,Male,28.39
Beacon Hill Salon,Female,50.38
Back Bay Hair,Male,39.96
Cambridge Cuts,Female,51.36
Tremont Barber,Male,51.13
Downtown Cuts,Female,23.35
Cambridge Cuts,Male,44.31
Newbury Street Salon,Female,45.61
Roxbury Cuts,Female,66.4
The Cut,Female,59.6
Back Bay Hair,Male,41.07
Cambridge Cuts,Female,50.97
Fenway Barbers,Male,28.48
Downtown Cuts,Female,23.09
Sola Salon,Female,44.36
Great Clips,Male,28.7
Sola Salon,Female,47.0
The Cut,Female,60.67
Boston Barber,Female,44.04
South End Studio,Female,39.31
Fenway Barbers,Male,29.95
Fenway Barbers,Male,27.63
Northeastern Salon,Male,54.36
South End Studio,Female,43.26
Harvard Sq Hair,Female,33.36
Harvard Sq Hair,Male,24.45
Downtown Cuts,Female,24.27
Campus Cuts,Female,32.63
Chinatown Barber,Male,42.0
South End Studio,Male,34.35
Beacon Hill Salon,Female,46.06
Floyd's 99,Male,37.45
Floyd's 99,Female,42.11
Back Bay Hair,Male,45.46
Cambridge Cuts,Male,43.15
Great Clips,Female,22.81
The Cut,Male,59.73
The Cut,Female,61.82
Boston Barber,Male,32.33
Newbury Street Salon,Female,48.76
Back Bay Hair,Male,41.62
Back Bay Hair,Female,56.3
Boston Barber,Female,42.01
Boston Barber,Female,44.23
Sola Salon,Female,42.31
Roxbury Cuts,Male,61.96
Great Clips,Male,31.53
Northeastern Salon,Male,57.84
Roxbury Cuts,Male,57.26
Downtown Cuts,Female,24.77
Northeastern Salon,Male,55.67
Back Bay Hair,Female,58.4
Harvard Sq Hair,Male,22.36
Northeastern Salon,Male,60.73
Chinatown Barber,Male,46.04
Downtown Cuts,Female,26.34
Northeastern Salon,Male,58.27
South End Studio,Male,38.56
Harvard Sq Hair,Male,23.31
Roxbury Cuts,Female,66.13
Roxbury Cuts,Female,67.63
SuperCuts,Male,60.4
SuperCuts,Female,67.56
Boston Barber,Male,30.89
Harvard Sq Hair,Female,31.4
SuperCuts,Male,58.5
Back Bay Hair,Male,40.21
Tremont Barber,Male,52.49
Beacon Hill Salon,Male,49.93
Floyd's 99,Male,35.69
Back Bay Hair,Male,43.21
The Cut,Female,63.2
Campus Cuts,Male,32.59
Boston Barber,Male,33.61
Beacon Hill Salon,Female,48.87
Back Bay Hair,Male,44.42
The Cut,Male,61.41
The Cut,Female,63.66
Downtown Cuts,Male,22.07
Great Clips,Female,30.89
Downtown Cuts,Male,20.03
Great Clips,Male,29.78
Boston Barber,Female,43.39
Back Bay Hair,Female,53.72
Chinatown Barber,Female,47.22
Back Bay Hair,Male,43.28
Tremont Barber,Male,54.62
Campus Cuts,Male,30.65
Cambridge Cuts,Male,40.7
Newbury Street Salon,Male,47.63
Fenway Barbers,Male,26.74
Roxbury Cuts,Female,65.41
Sola Salon,Male,38.88
South End Studio,Male,39.1
Newbury Street Salon,Male,51.49
Chinatown Barber,Female,46.39
South End Studio,Male,43.02
South End Studio,Male,44.34
Boston Barber,Female,43.13
Roxbury Cuts,Male,56.17
SuperCuts,Female,68.82
The Cut,Male,54.18
Roxbury Cuts,Male,56.86
Cambridge Cuts,Male,44.82
South End Studio,Female,41.21
Harvard Sq Hair,Male,23.09
Boston Barber,Female,44.4
Back Bay Hair,Male,40.52
Fenway Barbers,Male,33.32
Roxbury Cuts,Male,56.64
Sola Salon,Female,43.39
Northeastern Salon,Male,56.94
Northeastern Salon,Female,58.81
Sola Salon,Male,40.38
Back Bay Hair,Female,57.53
Beacon Hill Salon,Female,48.27
Floyd's 99,Female,40.95
Northeastern Salon,Male,59.79
Campus Cuts,Male,33.18
Harvard Sq Hair,Female,31.17
Back Bay Hair,Male,45.78
Harvard Sq Hair,Male,22.97
Fenway Barbers,Male,26.91
Harvard Sq Hair,Male,21.02
Downtown Cuts,Male,21.84
Northeastern Salon,Male,58.12
Northeastern Salon,Female,61.08
Boston Barber,Female,43.4
Harvard Sq Hair,Female,31.47
Northeastern Salon,Male,57.26
The Cut,Male,56.68
Downtown Cuts,Male,19.98
Sola Salon,Female,44.07
Roxbury Cuts,Female,67.91
Chinatown Barber,Female,46.04
Downtown Cuts,Male,20.31
Tremont Barber,Male,55.34
Harvard Sq Hair,Male,24.06
Roxbury Cuts,Female,69.69
Boston Barber,Female,42.73
Floyd's 99,Male,34.28
Chinatown Barber,Male,46.19
The Cut,Female,62.29
Cambridge Cuts,Male,42.67
Great Clips,Female,25.64
South End Studio,Female,41.2
Newbury Street Salon,Male,44.97
Boston Barber,Female,42.25
Newbury Street Salon,Female,45.77
Floyd's 99,Female,35.49
South End Studio,Male,39.67
Fenway Barbers,Female,36.98
Floyd's 99,Female,40.7
Newbury Street Salon,Male,48.6
The Cut,Female,64.51
Cambridge Cuts,Female,54.46
Fenway Barbers,Female,32.57
Harvard Sq Hair,Female,28.56
Fenway Barbers,Female,33.72
The Cut,Female,63.31
Fenway Barbers,Male,31.98
Seaport Studio,Male,40.87
Downtown Cuts,Male,23.39
Beacon Hill Salon,Male,49.54
Boston Barber,Female,44.6
SuperCuts,Female,70.98
Northeastern Salon,Male,56.06
Fenway Barbers,Male,25.32
Campus Cuts,Male,27.27
Fenway Barbers,Male,29.61
Roxbury Cuts,Female,68.9
Newbury Street Salon,Male,44.5
Fenway Barbers,Female,36.96
Fenway Barbers,Male,27.85
Campus Cuts,Male,32.57
Cambridge Cuts,Male,40.73
Boston Barber,Male,34.69
Seaport Studio,Male,42.25
Newbury Street Salon,Female,46.99
Fenway Barbers,Female,29.18
South End Studio,Female,43.64
Tremont Barber,Male,54.82
Tremont Barber,Female,59.92
Northeastern Salon,Female,59.08
Harvard Sq Hair,Male,22.89
Back Bay Hair,Male,42.08
Back Bay Hair,Female,54.79
Tremont Barber,Male,55.86
Downtown Cuts,Female,24.94
Great Clips,Male,24.12
South End Studio,Female,42.71
Fenway Barbers,Male,29.98
Sola Salon,Male,38.69
Boston Barber,Male,35.35
Beacon Hill Salon,Male,44.26
Fenway Barbers,Male,31.22
Roxbury Cuts,Male,58.43
Roxbury Cuts,Male,55.39
South End Studio,Female,38.31
Sola Salon,Female,43.81
Newbury Street Salon,Male,47.17
Seaport Studio,Female,45.47
Campus Cuts,Male,27.81
Beacon Hill Salon,Male,50.72
Harvard Sq Hair,Male,22.68
Roxbury Cuts,Male,55.09
Sola Salon,Female,44.22
Seaport Studio,Male,43.49
Great Clips,Male,21.09
Fenway Barbers,Female,35.48
Beacon Hill Salon,Male,47.59
Newbury Street Salon,Male,44.93
Downtown Cuts,Female,20.24
South End Studio,Female,42.86
Great Clips,Male,28.09
Harvard Sq Hair,Female,31.61
Seaport Studio,Female,44.67
SuperCuts,Male,59.33
Newbury Street Salon,Female,46.55
Great Clips,Female,26.72
Chinatown Barber,Male,42.43
Seaport Studio,Male,44.37
SuperCuts,Male,57.89
Campus Cuts,Female,35.57
Roxbury Cuts,Female,65.02
Seaport Studio,Male,41.31
Newbury Street Salon,Female,50.5
Back Bay Hair,Male,41.37
Newbury Street Salon,Female,47.95
Roxbury Cuts,Male,54.86
Great Clips,Female,30.82
Newbury Street Salon,Male,47.16
Harvard Sq Hair,Female,34.52
Sola Salon,Female,45.43
Sola Salon,Female,39.79
Cambridge Cuts,Female,52.65
The Cut,Female,64.54
Northeastern Salon,Female,60.76
Great Clips,Female,28.4
SuperCuts,Male,58.74
Boston Barber,Male,34.3
Northeastern Salon,Male,57.4
Floyd's 99,Male,37.25
Cambridge Cuts,Female,54.26
Cambridge Cuts,Male,43.58
Floyd's 99,Female,38.48
Roxbury Cuts,Male,57.57
Back Bay Hair,Female,56.24
SuperCuts,Male,58.55
Boston Barber,Male,31.7
Back Bay Hair,Male,42.36
Roxbury Cuts,Male,57.25
Newbury Street Salon,Male,49.85
Sola Salon,Female,42.92
SuperCuts,Female,65.31
Tremont Barber,Male,54.87
South End Studio,Male,41.66
Roxbury Cuts,Female,63.07
Harvard Sq Hair,Male,21.21
Downtown Cuts,Female,26.41
South End Studio,Male,43.28
SuperCuts,Male,59.69
Tremont Barber,Female,62.41
Roxbury Cuts,Male,58.56
Beacon Hill Salon,Female,47.75
Beacon Hill Salon,Female,49.24
Northeastern Salon,Female,58.66
Roxbury Cuts,Male,59.09
Beacon Hill Salon,Female,49.7
Roxbury Cuts,Female,72.11
Campus Cuts,Female,33.72
Beacon Hill Salon,Female,49.39
Cambridge Cuts,Male,41.19
Fenway Barbers,Male,30.08
Beacon Hill Salon,Female,50.51
The Cut,Female,66.38
SuperCuts,Male,60.18
Back Bay Hair,Female,60.18
Floyd's 99,Male,39.15
Floyd's 99,Male,36.6
Beacon Hill Salon,Male,51.32
Sola Salon,Female,44.64
Northeastern Salon,Male,59.35
Roxbury Cuts,Female,68.25
Floyd's 99,Female,40.37
Seaport Studio,Female,48.44
Harvard Sq Hair,Male,20.04
Beacon Hill Salon,Male,46.5
Downtown Cuts,Male,21.04
South End Studio,Female,38.69
Harvard Sq Hair,Female,28.63
Beacon Hill Salon,Female,52.17
Roxbury Cuts,Female,64.76
The Cut,Female,63.8
Campus Cuts,Female,35.26
Fenway Barbers,Male,32.9
The Cut,Male,61.61
Roxbury Cuts,Male,56.44
Newbury Street Salon,Female,46.07
Downtown Cuts,Female,28.33
Campus Cuts,Male,32.38
Boston Barber,Female,46.21
Chinatown Barber,Female,46.87
Seaport Studio,Male,40.82
South End Studio,Male,41.58
Harvard Sq Hair,Male,25.95
Downtown Cuts,Male,18.23
South End Studio,Female,42.01
Great Clips,Female,29.98
Seaport Studio,Female,50.19
Chinatown Barber,Female,48.87
Floyd's 99,Male,38.87
Sola Salon,Female,38.94
Fenway Barbers,Male,30.8
Floyd's 99,Male,37.02
Tremont Barber,Male,55.72
Harvard Sq Hair,Female,29.05
Roxbury Cuts,Male,55.9
Boston Barber,Male,33.71
Seaport Studio,Female,45.41
SuperCuts,Female,66.94
Seaport Studio,Female,46.72
Newbury Street Salon,Male,46.37
Newbury Street Salon,Female,47.89
South End Studio,Male,42.47
Cambridge Cuts,Male,40.31
Downtown Cuts,Male,22.01
Northeastern Salon,Female,59.29
Fenway Barbers,Male,28.77
Fenway Barbers,Male,28.81
Harvard Sq Hair,Male,22.47
Beacon Hill Salon,Female,48.04
The Cut,Female,60.49
Harvard Sq Hair,Female,26.14
Back Bay Hair,Female,61.11
Roxbury Cuts,Male,55.54
Northeastern Salon,Female,59.02
South End Studio,Male,39.97
Floyd's 99,Male,37.36
Floyd's 99,Female,34.7
Fenway Barbers,Male,32.7
South End Studio,Female,36.87
Chinatown Barber,Female,44.1
Downtown Cuts,Female,24.1
Campus Cuts,Female,32.88
Seaport Studio,Female,48.64
Chinatown Barber,Female,48.26
Northeastern Salon,Male,57.42
Beacon Hill Salon,Female,49.2
Harvard Sq Hair,Male,21.28
SuperCuts,Female,67.87
Cambridge Cuts,Male,46.06
South End Studio,Male,42.33
Northeastern Salon,Male,56.48
Fenway Barbers,Male,31.01
Northeastern Salon,Female,61.23
Northeastern Salon,Female,57.67
Harvard Sq Hair,Male,23.98
Floyd's 99,Male,38.85
Cambridge Cuts,Female,52.01
Campus Cuts,Male,31.19
Beacon Hill Salon,Male,47.81
SuperCuts,Male,60.16
Roxbury Cuts,Male,57.61
Back Bay Hair,Female,58.57
The Cut,Male,60.28
South End Studio,Female,44.94
South End Studio,Male,39.0
Tremont Barber,Male,54.43
Back Bay Hair,Male,44.74
Seaport Studio,Male,40.66
Northeastern Salon,Male,56.51
Floyd's 99,Male,36.54
Northeastern Salon,Female,60.36
Back Bay Hair,Male,40.38
Fenway Barbers,Male,30.66
The Cut,Male,60.9
Campus Cuts,Male,32.75
Back Bay Hair,Female,57.63
Northeastern Salon,Male,55.28
Downtown Cuts,Female,22.79
Campus Cuts,Female,31.32
The Cut,Female,62.94
Northeastern Salon,Male,60.28
Boston Barber,Male,34.25
Beacon Hill Salon,Female,47.22
Northeastern Salon,Male,61.76
SuperCuts,Female,67.91
Seaport Studio,Female,44.42
South End Studio,Female,43.35
South End Studio,Female,41.97
Beacon Hill Salon,Male,46.46
Newbury Street Salon,Female,48.57
Tremont Barber,Female,58.37
Northeastern Salon,Female,56.87
The Cut,Female,62.22
Fenway Barbers,Female,33.8
Roxbury Cuts,Female,65.56
Campus Cuts,Male,26.87
Harvard Sq Hair,Female,34.67
Campus Cuts,Female,37.37
Great Clips,Male,26.79
Roxbury Cuts,Male,59.0
Chinatown Barber,Male,43.96
Fenway Barbers,Male,30.4
Fenway Barbers,Male,31.3
South End Studio,Male,40.27
Cambridge Cuts,Female,52.45
Boston Barber,Male,34.9
Fenway Barbers,Male,29.21
Sola Salon,Female,41.27
Campus Cuts,Female,39.02
Floyd's 99,Female,40.27
Floyd's 99,Male,37.64
Beacon Hill Salon,Male,49.79
Chinatown Barber,Female,46.03
Newbury Street Salon,Male,47.43
Northeastern Salon,Female,56.25
The Cut,Male,58.7
Boston Barber,Female,42.71
Sola Salon,Male,37.97
Beacon Hill Salon,Female,50.19
Campus Cuts,Female,33.73
Harvard Sq Hair,Male,24.24
Cambridge Cuts,Male,41.51
Beacon Hill Salon,Female,48.62
Downtown Cuts,Male,21.11
South End Studio,Male,42.6
Chinatown Barber,Female,46.81
South End Studio,Female,46.84
Northeastern Salon,Male,57.17
Floyd's 99,Male,36.6
The Cut,Female,64.77
Chinatown Barber,Male,42.14
Downtown Cuts,Female,25.77
Seaport Studio,Female,46.4
Boston Barber,Male,31.88
The Cut,Male,60.39
Back Bay Hair,Male,39.48
Roxbury Cuts,Female,68.63
Campus Cuts,Male,29.15
SuperCuts,Male,59.69
Great Clips,Male,29.3
Boston Barber,Female,45.59
SuperCuts,Male,57.15
South End Studio,Female,42.08
SuperCuts,Female,69.96
Great Clips,Male,31.97
Boston Barber,Female,44.53
Sola Salon,Female,45.07
Boston Barber,Female,45.68
Cambridge Cuts,Male,43.9
Downtown Cuts,Female,24.44
Roxbury Cuts,Male,53.89
Chinatown Barber,Male,44.8
Harvard Sq Hair,Female,33.82
Back Bay Hair,Male,41.25
Boston Barber,Female,43.72
Back Bay Hair,Female,57.62
Roxbury Cuts,Male,57.38
Newbury Street Salon,Female,44.65
Floyd's 99,Male,36.66
Newbury Street Salon,Male,47.74
Sola Salon,Female,44.18
Roxbury Cuts,Male,59.18
Boston Barber,Male,34.99
Downtown Cuts,Male,23.14
Downtown Cuts,Female,25.72
